albumn_name,track_title,track_number,lyric,line,negative,neutral,positive,overall
Taylor Swift,Tim McGraw,1,He said the way my blue eyes shined,1,0.0,1.0,0.0,Neutral
Taylor Swift,Tim McGraw,1,Put those Georgia stars to shame that night,2,0.307,0.693,0.0,Negative
Taylor Swift,Tim McGraw,1,"I said, ""That's a lie""",3,0.0,1.0,0.0,Neutral
Taylor Swift,Tim McGraw,1,Just a boy in a Chevy truck,4,0.0,1.0,0.0,Neutral
Taylor Swift,Tim McGraw,1,That had a tendency of gettin' stuck,5,0.25,0.75,0.0,Negative
Taylor Swift,Tim McGraw,1,On back roads at night,6,0.0,1.0,0.0,Neutral
Taylor Swift,Tim McGraw,1,And I was right there beside him all summer long,7,0.0,1.0,0.0,Neutral
Taylor Swift,Tim McGraw,1,And then the time we woke up to find that summer gone,8,0.0,1.0,0.0,Neutral
Taylor Swift,Tim McGraw,1,But when you think Tim McGraw,9,0.0,1.0,0.0,Neutral
Taylor Swift,Tim McGraw,1,I hope you think my favorite song,10,0.0,0.459,0.541,Positive
Taylor Swift,Tim McGraw,1,The one we danced to all night long,11,0.0,1.0,0.0,Neutral
Taylor Swift,Tim McGraw,1,The moon like a spotlight on the lake,12,0.0,0.737,0.263,Positive
Taylor Swift,Tim McGraw,1,When you think happiness,13,0.0,0.455,0.545,Positive
Taylor Swift,Tim McGraw,1,I hope you think that little black dress,14,0.0,0.707,0.293,Positive
Taylor Swift,Tim McGraw,1,Think of my head on your chest,15,0.0,1.0,0.0,Neutral
Taylor Swift,Tim McGraw,1,And my old faded blue jeans,16,0.0,1.0,0.0,Neutral
Taylor Swift,Tim McGraw,1,When you think Tim McGraw,17,0.0,1.0,0.0,Neutral
Taylor Swift,Tim McGraw,1,I hope you think of me,18,0.0,0.633,0.367,Positive
Taylor Swift,Tim McGraw,1,September saw a month of tears,19,0.275,0.725,0.0,Negative
Taylor Swift,Tim McGraw,1,And thankin' God that you weren't here,20,0.0,0.741,0.259,Positive
Taylor Swift,Tim McGraw,1,To see me like that,21,0.0,0.615,0.385,Positive
Taylor Swift,Tim McGraw,1,But in a box beneath my bed,22,0.0,1.0,0.0,Neutral
Taylor Swift,Tim McGraw,1,Is a letter that you never read,23,0.0,1.0,0.0,Neutral
Taylor Swift,Tim McGraw,1,From three summers back,24,0.0,1.0,0.0,Neutral
Taylor Swift,Tim McGraw,1,It's hard not to find it all a little bittersweet,25,0.231,0.769,0.0,Negative
Taylor Swift,Tim McGraw,1,"And lookin' back on all of that, it's nice to believe",26,0.0,0.781,0.219,Positive
Taylor Swift,Tim McGraw,1,When you think Tim McGraw,27,0.0,1.0,0.0,Neutral
Taylor Swift,Tim McGraw,1,I hope you think my favorite song,28,0.0,0.459,0.541,Positive
Taylor Swift,Tim McGraw,1,The one we danced to all night long,29,0.0,1.0,0.0,Neutral
Taylor Swift,Tim McGraw,1,The moon like a spotlight on the lake,30,0.0,0.737,0.263,Positive
Taylor Swift,Tim McGraw,1,When you think happiness,31,0.0,0.455,0.545,Positive
Taylor Swift,Tim McGraw,1,I hope you think that little black dress,32,0.0,0.707,0.293,Positive
Taylor Swift,Tim McGraw,1,Think of my head on your chest,33,0.0,1.0,0.0,Neutral
Taylor Swift,Tim McGraw,1,And my old faded blue jeans,34,0.0,1.0,0.0,Neutral
Taylor Swift,Tim McGraw,1,When you think Tim McGraw,35,0.0,1.0,0.0,Neutral
Taylor Swift,Tim McGraw,1,I hope you think of me,36,0.0,0.633,0.367,Positive
Taylor Swift,Tim McGraw,1,And I'm back for the first time since then,37,0.0,1.0,0.0,Neutral
Taylor Swift,Tim McGraw,1,I'm standin' on your street,38,0.0,1.0,0.0,Neutral
Taylor Swift,Tim McGraw,1,And there's a letter left on your doorstep,39,0.0,1.0,0.0,Neutral
Taylor Swift,Tim McGraw,1,And the first thing that you'll read is:,40,0.0,1.0,0.0,Neutral
Taylor Swift,Tim McGraw,1,"""When you think Tim McGraw",41,0.0,1.0,0.0,Neutral
Taylor Swift,Tim McGraw,1,I hope you think my favorite song,42,0.0,0.459,0.541,Positive
Taylor Swift,Tim McGraw,1,Someday you'll turn your radio on,43,0.0,1.0,0.0,Neutral
Taylor Swift,Tim McGraw,1,"I hope it takes you back to that place""",44,0.0,0.734,0.266,Positive
Taylor Swift,Tim McGraw,1,When you think happiness,45,0.0,0.455,0.545,Positive
Taylor Swift,Tim McGraw,1,I hope you think that little black dress,46,0.0,0.707,0.293,Positive
Taylor Swift,Tim McGraw,1,Think of my head on your chest,47,0.0,1.0,0.0,Neutral
Taylor Swift,Tim McGraw,1,And my old faded blue jeans,48,0.0,1.0,0.0,Neutral
Taylor Swift,Tim McGraw,1,When you think Tim McGraw,49,0.0,1.0,0.0,Neutral
Taylor Swift,Tim McGraw,1,I hope you think of me,50,0.0,0.633,0.367,Positive
Taylor Swift,Tim McGraw,1,"Oh, think of me",51,0.0,1.0,0.0,Neutral
Taylor Swift,Tim McGraw,1,Mmmm,52,0.0,1.0,0.0,Neutral
Taylor Swift,Tim McGraw,1,He said the way my blue eyes shined,53,0.0,1.0,0.0,Neutral
Taylor Swift,Tim McGraw,1,Put those Georgia stars to shame that night,54,0.307,0.693,0.0,Negative
Taylor Swift,Tim McGraw,1,"I said, ""That's a lie""",55,0.0,1.0,0.0,Neutral
Taylor Swift,Picture To Burn,2,"State the obvious, I didn't get my perfect fantasy",1,0.273,0.727,0.0,Negative
Taylor Swift,Picture To Burn,2,I realize you love yourself more than you could ever love me,2,0.0,0.543,0.457,Positive
Taylor Swift,Picture To Burn,2,So go and tell your friends that I'm obsessive and crazy,3,0.279,0.519,0.201,Negative
Taylor Swift,Picture To Burn,2,That's fine I'll tell mine that you're gay!,4,0.0,0.77,0.23,Positive
Taylor Swift,Picture To Burn,2,By the way...,5,0.0,1.0,0.0,Neutral
Taylor Swift,Picture To Burn,2,I hate that stupid old pickup truck,6,0.587,0.413,0.0,Negative
Taylor Swift,Picture To Burn,2,You never let me drive,7,0.0,1.0,0.0,Neutral
Taylor Swift,Picture To Burn,2,You're a redneck heartbreak,8,0.552,0.448,0.0,Negative
Taylor Swift,Picture To Burn,2,Who's really bad at lying,9,0.713,0.287,0.0,Negative
Taylor Swift,Picture To Burn,2,So watch me strike a match,10,0.261,0.739,0.0,Negative
